dataset,folder,method,keep_frac,split,n_rows,n_users,n_items,n_interactions,oss_pct,uss,iss,user_gini,item_gini,coldstart_user,coldstart_item,coldstart_user_fraction,coldstart_user_pct,coldstart_item_fraction,coldstart_item_pct,u0_count,u1_count,i0_count,i1_count,min_user_interactions,min_item_interactions,p01_user_interactions,p01_item_interactions
hm,hm_head_keep0.1,head_item_cut_train_only,0.1,train,44925,12905,6654,44925,0.052318,3.4812,6.7516,0.336104,0.260716,0.18705928,0.00465885,0.18705928,18.705928,0.00465885,0.465885,0.0,2414.0,0.0,31.0,1.0,1.0,1.0,2.0
hm,hm_head_keep0.1,head_item_cut_train_only,0.1,valid,11873,11670,5442,11873,0.013827,0.92,1.7843,0.110917,0.421573,0.98504456,0.48001202,0.98504456,98.504456,0.48001202,48.001202,,,,,,,1.0,2.0
hm,hm_head_keep0.1,head_item_cut_train_only,0.1,test,68391,12869,5918,68391,0.079645,5.2996,10.2782,0.159331,0.636934,0.00573421,0.2245266,0.00573421,0.573421,0.2245266,22.45266,,,,,,,1.0,2.0
hm,hm_random_keep0.9,random_thinning_train_only,0.9,train,455408,12905,6654,455408,0.530347,35.2893,68.4412,0.171086,0.406356,0.0,0.00180343,0.0,0.0,0.00180343,0.180343,0.0,0.0,0.0,12.0,18.0,1.0,22.0,4.0
hm,hm_random_keep0.9,random_thinning_train_only,0.9,valid,55777,12838,6128,55777,0.064955,4.3221,8.3825,0.161565,0.532196,0.01108098,0.17868951,0.01108098,1.108098,0.17868951,17.868951,,,,,,,22.0,4.0
hm,hm_random_keep0.9,random_thinning_train_only,0.9,test,68391,12869,5918,68391,0.079645,5.2996,10.2782,0.159331,0.636934,0.00573421,0.2245266,0.00573421,0.573421,0.2245266,22.45266,,,,,,,22.0,4.0
hm,hm_random_keep0.7,random_thinning_train_only,0.7,train,352785,12905,6654,352785,0.410837,27.3371,53.0185,0.181455,0.408992,0.0,0.00180343,0.0,0.0,0.00180343,0.180343,0.0,0.0,0.0,12.0,10.0,1.0,16.0,3.0
hm,hm_random_keep0.7,random_thinning_train_only,0.7,valid,44803,12817,5988,44803,0.052175,3.4718,6.7332,0.154709,0.53564,0.01425804,0.21701232,0.01425804,1.425804,0.21701232,21.701232,,,,,,,16.0,3.0
hm,hm_random_keep0.7,random_thinning_train_only,0.7,test,68391,12869,5918,68391,0.079645,5.2996,10.2782,0.159331,0.636934,0.00573421,0.2245266,0.00573421,0.573421,0.2245266,22.45266,,,,,,,16.0,3.0
hm,hm_random_keep0.6,random_thinning_train_only,0.6,train,301769,12905,6654,301769,0.351426,23.3839,45.3515,0.185391,0.410454,0.0,0.00330628,0.0,0.0,0.00330628,0.330628,0.0,0.0,0.0,22.0,8.0,1.0,12.0,3.0
hm,hm_random_keep0.6,random_thinning_train_only,0.6,valid,39021,12797,5883,39021,0.045442,3.0237,5.8643,0.168937,0.538404,0.01712515,0.25127743,0.01712515,1.712515,0.25127743,25.127743,,,,,,,12.0,3.0
hm,hm_random_keep0.6,random_thinning_train_only,0.6,test,68391,12869,5918,68391,0.079645,5.2996,10.2782,0.159331,0.636934,0.00573421,0.2245266,0.00573421,0.573421,0.2245266,22.45266,,,,,,,12.0,3.0
hm,hm_random_keep0.5,random_thinning_train_only,0.5,train,250766,12905,6654,250766,0.29203,19.4317,37.6865,0.193659,0.410272,0.0,0.00450857,0.0,0.0,0.00450857,0.450857,0.0,0.0,0.0,30.0,5.0,1.0,9.0,2.0
hm,hm_random_keep0.5,random_thinning_train_only,0.5,valid,33226,12776,5778,33226,0.038693,2.5747,4.9934,0.168512,0.539759,0.0261914,0.28358882,0.0261914,2.61914,0.28358882,28.358882,,,,,,,9.0,2.0
hm,hm_random_keep0.5,random_thinning_train_only,0.5,test,68391,12869,5918,68391,0.079645,5.2996,10.2782,0.159331,0.636934,0.00573421,0.2245266,0.00573421,0.573421,0.2245266,22.45266,,,,,,,9.0,2.0
hm,hm_random_keep0.3,random_thinning_train_only,0.3,train,148181,12905,6654,148181,0.172565,11.4824,22.2695,0.217564,0.41635,0.00030996,0.01067027,0.00030996,0.030996,0.01067027,1.067027,0.0,4.0,0.0,71.0,1.0,1.0,4.0,1.0
hm,hm_random_keep0.3,random_thinning_train_only,0.3,valid,22214,12696,5396,22214,0.025869,1.7213,3.3384,0.19341,0.541786,0.35606354,0.37616471,0.35606354,35.606354,0.37616471,37.616471,,,,,,,4.0,1.0
hm,hm_random_keep0.3,random_thinning_train_only,0.3,test,68391,12869,5918,68391,0.079645,5.2996,10.2782,0.159331,0.636934,0.00573421,0.2245266,0.00573421,0.573421,0.2245266,22.45266,,,,,,,4.0,1.0
hm,hm_random_keep0.1,random_thinning_train_only,0.1,train,44908,12905,6654,44908,0.052298,3.4799,6.749,0.328649,0.448232,0.17721813,0.10144274,0.17721813,17.721813,0.10144274,10.144274,0.0,2287.0,0.0,675.0,1.0,1.0,1.0,1.0
hm,hm_random_keep0.1,random_thinning_train_only,0.1,valid,11890,11709,4830,11890,0.013847,0.9213,1.7869,0.106283,0.541522,0.9862069,0.5592125,0.9862069,98.62069,0.5592125,55.92125,,,,,,,1.0,1.0
hm,hm_random_keep0.1,random_thinning_train_only,0.1,test,68391,12869,5918,68391,0.079645,5.2996,10.2782,0.159331,0.636934,0.00573421,0.2245266,0.00573421,0.573421,0.2245266,22.45266,,,,,,,1.0,1.0
hm,hm_random_keep0.05,random_thinning_train_only,0.05,train,21227,12905,6654,21227,0.02472,1.6449,3.1901,0.289889,0.483759,0.62611391,0.41073039,0.62611391,62.611391,0.41073039,41.073039,0.0,8080.0,0.0,2733.0,1.0,1.0,1.0,1.0
hm,hm_random_keep0.05,random_thinning_train_only,0.05,valid,7172,7167,3854,7172,0.008352,0.5558,1.0778,0.445021,0.604791,0.99961255,0.73204088,0.99961255,99.961255,0.73204088,73.204088,,,,,,,1.0,1.0
hm,hm_random_keep0.05,random_thinning_train_only,0.05,test,68391,12869,5918,68391,0.079645,5.2996,10.2782,0.159331,0.636934,0.00573421,0.2245266,0.00573421,0.573421,0.2245266,22.45266,,,,,,,1.0,1.0
hm,hm_tail_keep0.1,tail_item_cut_train_only,0.1,train,45566,12905,6654,45566,0.053064,3.5309,6.8479,0.350491,0.807214,0.20991864,0.65374211,0.20991864,20.991864,0.65374211,65.374211,0.0,2709.0,0.0,4350.0,1.0,1.0,1.0,1.0
hm,hm_tail_keep0.1,tail_item_cut_train_only,0.1,valid,11232,11025,100,11232,0.01308,0.8704,1.688,0.161132,0.988004,0.98403719,0.98497145,0.98403719,98.403719,0.98497145,98.497145,,,,,,,1.0,1.0
hm,hm_tail_keep0.1,tail_item_cut_train_only,0.1,test,68391,12869,5918,68391,0.079645,5.2996,10.2782,0.159331,0.636934,0.00573421,0.2245266,0.00573421,0.573421,0.2245266,22.45266,,,,,,,1.0,1.0
hm,hm_dedup_base_split,userwise_temporal_holdout_with_coverage,1.0,train,506649,12905,6654,506649,0.59002,39.2599,76.142,0.170715,0.406161,0.0,0.00090171,0.0,0.0,0.00090171,0.090171,0.0,0.0,0.0,6.0,27.0,1.0,27.0,4.0
hm,hm_dedup_base_split,userwise_temporal_holdout_with_coverage,1.0,valid,61334,12638,6174,61334,0.071427,4.7527,9.2176,0.153886,0.528273,0.02425417,0.15855125,0.02425417,2.425417,0.15855125,15.855125,,,,,,,27.0,4.0
hm,hm_dedup_base_split,userwise_temporal_holdout_with_coverage,1.0,test,68391,12869,5918,68391,0.079645,5.2996,10.2782,0.159331,0.636934,0.00573421,0.2245266,0.00573421,0.573421,0.2245266,22.45266,,,,,,,27.0,4.0
