dataset,folder,keep_frac,entity_type,count_bucket,entity_count,entity_pct
hm,hm_random_keep0.05,0.05,user,11-20,12,0.093
hm,hm_random_keep0.05,0.05,user,21-50,0,0.0
hm,hm_random_keep0.05,0.05,user,>50,0,0.0
hm,hm_random_keep0.05,0.05,item,0,0,0.0
hm,hm_random_keep0.05,0.05,item,1,2733,41.073
hm,hm_random_keep0.05,0.05,item,2,1415,21.2654
hm,hm_random_keep0.05,0.05,item,3-5,1555,23.3694
hm,hm_random_keep0.05,0.05,item,6-10,638,9.5882
hm,hm_random_keep0.05,0.05,item,11-20,254,3.8173
hm,hm_random_keep0.05,0.05,item,21-50,58,0.8717
hm,hm_random_keep0.05,0.05,item,>50,1,0.015
hm,hm_random_keep0.1,0.1,user,0,0,0.0
hm,hm_random_keep0.1,0.1,user,1,2287,17.7218
hm,hm_random_keep0.1,0.1,user,2,2598,20.1317
hm,hm_random_keep0.1,0.1,user,3-5,6124,47.4545
hm,hm_random_keep0.1,0.1,user,6-10,1776,13.7621
hm,hm_random_keep0.1,0.1,user,11-20,113,0.8756
hm,hm_random_keep0.1,0.1,user,21-50,7,0.0542
hm,hm_random_keep0.1,0.1,user,>50,0,0.0
hm,hm_random_keep0.1,0.1,item,0,0,0.0
hm,hm_random_keep0.1,0.1,item,1,675,10.1443
hm,hm_random_keep0.1,0.1,item,2,798,11.9928
hm,hm_random_keep0.1,0.1,item,3-5,2304,34.6258
hm,hm_random_keep0.1,0.1,item,6-10,1750,26.3
hm,hm_random_keep0.1,0.1,item,11-20,851,12.7893
hm,hm_random_keep0.1,0.1,item,21-50,261,3.9225
hm,hm_random_keep0.1,0.1,item,>50,15,0.2254
hm,hm_random_keep0.5,0.5,user,0,0,0.0
hm,hm_random_keep0.5,0.5,user,1,0,0.0
hm,hm_random_keep0.5,0.5,user,2,0,0.0
hm,hm_random_keep0.5,0.5,user,3-5,3,0.0232
hm,hm_random_keep0.5,0.5,user,6-10,411,3.1848
hm,hm_random_keep0.5,0.5,user,11-20,8647,67.005
hm,hm_random_keep0.5,0.5,user,21-50,3724,28.857
hm,hm_random_keep0.5,0.5,user,>50,120,0.9299
hm,hm_random_keep0.5,0.5,item,0,0,0.0
hm,hm_random_keep0.5,0.5,item,1,30,0.4509
hm,hm_random_keep0.5,0.5,item,2,49,0.7364
hm,hm_random_keep0.5,0.5,item,3-5,187,2.8103
hm,hm_random_keep0.5,0.5,item,6-10,342,5.1398
hm,hm_random_keep0.5,0.5,item,11-20,1563,23.4896
hm,hm_random_keep0.5,0.5,item,21-50,3013,45.281
hm,hm_random_keep0.5,0.5,item,>50,1470,22.092
hm,hm_random_keep0.7,0.7,user,0,0,0.0
hm,hm_random_keep0.7,0.7,user,1,0,0.0
hm,hm_random_keep0.7,0.7,user,2,0,0.0
hm,hm_random_keep0.7,0.7,user,3-5,0,0.0
hm,hm_random_keep0.7,0.7,user,6-10,1,0.0077
hm,hm_random_keep0.7,0.7,user,11-20,2919,22.6191
hm,hm_random_keep0.7,0.7,user,21-50,9508,73.6769
hm,hm_random_keep0.7,0.7,user,>50,477,3.6962
hm,hm_random_keep0.7,0.7,item,0,0,0.0
hm,hm_random_keep0.7,0.7,item,1,12,0.1803
hm,hm_random_keep0.7,0.7,item,2,34,0.511
hm,hm_random_keep0.7,0.7,item,3-5,121,1.8185
hm,hm_random_keep0.7,0.7,item,6-10,220,3.3063
hm,hm_random_keep0.7,0.7,item,11-20,640,9.6183
hm,hm_random_keep0.7,0.7,item,21-50,3225,48.4671
hm,hm_random_keep0.7,0.7,item,>50,2402,36.0986
hm,hm_random_keep0.9,0.9,user,0,0,0.0
hm,hm_random_keep0.9,0.9,user,1,0,0.0
hm,hm_random_keep0.9,0.9,user,2,0,0.0
hm,hm_random_keep0.9,0.9,user,3-5,0,0.0
hm,hm_random_keep0.9,0.9,user,6-10,0,0.0
hm,hm_random_keep0.9,0.9,user,11-20,20,0.155
hm,hm_random_keep0.9,0.9,user,21-50,11660,90.3526
hm,hm_random_keep0.9,0.9,user,>50,1225,9.4924
hm,hm_random_keep0.9,0.9,item,0,0,0.0
hm,hm_random_keep0.9,0.9,item,1,12,0.1803
hm,hm_random_keep0.9,0.9,item,2,15,0.2254
hm,hm_random_keep0.9,0.9,item,3-5,84,1.2624
hm,hm_random_keep0.9,0.9,item,6-10,183,2.7502
hm,hm_random_keep0.9,0.9,item,11-20,339,5.0947
hm,hm_random_keep0.9,0.9,item,21-50,2753,41.3736
hm,hm_random_keep0.9,0.9,item,>50,3268,49.1133
hm,hm_tail_keep0.1,0.1,user,0,0,0.0
hm,hm_tail_keep0.1,0.1,user,1,2709,20.9919
hm,hm_tail_keep0.1,0.1,user,2,2458,19.0469
hm,hm_tail_keep0.1,0.1,user,3-5,5437,42.131
hm,hm_tail_keep0.1,0.1,user,6-10,2178,16.8772
hm,hm_tail_keep0.1,0.1,user,11-20,119,0.9221
hm,hm_tail_keep0.1,0.1,user,21-50,4,0.031
hm,hm_tail_keep0.1,0.1,user,>50,0,0.0
hm,hm_tail_keep0.1,0.1,item,0,0,0.0
hm,hm_tail_keep0.1,0.1,item,1,4350,65.3742
hm,hm_tail_keep0.1,0.1,item,2,679,10.2044
hm,hm_tail_keep0.1,0.1,item,3-5,938,14.0968
hm,hm_tail_keep0.1,0.1,item,6-10,415,6.2369
hm,hm_tail_keep0.1,0.1,item,11-20,147,2.2092
hm,hm_tail_keep0.1,0.1,item,21-50,24,0.3607
hm,hm_tail_keep0.1,0.1,item,>50,101,1.5179
