folder,split,path,exists,mtime,rows,stable_hash
amazon_tail_keep0.1,train,D:\recsys-pipeline\data\processed\amazon_tail_keep0.1\train.csv,True,2026-08-09 14:53:36,44796,f820929f50
amazon_tail_keep0.1,valid,D:\recsys-pipeline\data\processed\amazon_tail_keep0.1\valid.csv,True,2026-08-09 14:53:36,9750,67c48661bf
amazon_tail_keep0.1,test,D:\recsys-pipeline\data\processed\amazon_tail_keep0.1\test.csv,True,2026-08-09 14:53:37,74529,05888d78e3
amazon_tail_keep0.1,metadata,D:\recsys-pipeline\data\processed\amazon_tail_keep0.1\metadata.json,True,2026-08-09 14:53:37,47897,
hm_dedup_base_split,train,D:\recsys-pipeline\data\processed\hm_dedup_base_split\train.csv,True,2026-08-12 15:08:20,506649,bf7d04e8fb
hm_dedup_base_split,valid,D:\recsys-pipeline\data\processed\hm_dedup_base_split\valid.csv,True,2026-08-12 15:08:21,61334,d51e481aeb
hm_dedup_base_split,test,D:\recsys-pipeline\data\processed\hm_dedup_base_split\test.csv,True,2026-08-12 15:08:23,68391,38907f045c
hm_dedup_base_split,metadata,D:\recsys-pipeline\data\processed\hm_dedup_base_split\metadata.json,True,2026-08-12 15:08:27,19618,
hm_head_keep0.1,train,D:\recsys-pipeline\data\processed\hm_head_keep0.1\train.csv,True,2026-08-12 15:12:22,44925,85c11bdb6e
hm_head_keep0.1,valid,D:\recsys-pipeline\data\processed\hm_head_keep0.1\valid.csv,True,2026-08-12 15:12:23,11873,0a747a81f1
hm_head_keep0.1,test,D:\recsys-pipeline\data\processed\hm_head_keep0.1\test.csv,True,2026-08-12 15:12:25,68391,38907f045c
hm_head_keep0.1,metadata,D:\recsys-pipeline\data\processed\hm_head_keep0.1\metadata.json,True,2026-08-12 15:12:26,19619,
hm_random_keep0.05,train,D:\recsys-pipeline\data\processed\hm_random_keep0.05\train.csv,True,2026-08-12 15:11:49,21227,cf0f9f239e
hm_random_keep0.05,valid,D:\recsys-pipeline\data\processed\hm_random_keep0.05\valid.csv,True,2026-08-12 15:11:50,7172,85dafe2f3a
hm_random_keep0.05,test,D:\recsys-pipeline\data\processed\hm_random_keep0.05\test.csv,True,2026-08-12 15:11:52,68391,38907f045c
hm_random_keep0.05,metadata,D:\recsys-pipeline\data\processed\hm_random_keep0.05\metadata.json,True,2026-08-12 15:11:53,19619,
hm_random_keep0.1,train,D:\recsys-pipeline\data\processed\hm_random_keep0.1\train.csv,True,2026-08-12 15:11:26,44908,06426b3139
hm_random_keep0.1,valid,D:\recsys-pipeline\data\processed\hm_random_keep0.1\valid.csv,True,2026-08-12 15:11:27,11890,29b6a42db8
hm_random_keep0.1,test,D:\recsys-pipeline\data\processed\hm_random_keep0.1\test.csv,True,2026-08-12 15:11:28,68391,38907f045c
hm_random_keep0.1,metadata,D:\recsys-pipeline\data\processed\hm_random_keep0.1\metadata.json,True,2026-08-12 15:11:29,19619,
hm_random_keep0.5,train,D:\recsys-pipeline\data\processed\hm_random_keep0.5\train.csv,True,2026-08-12 15:10:55,250766,ce22f26839
hm_random_keep0.5,valid,D:\recsys-pipeline\data\processed\hm_random_keep0.5\valid.csv,True,2026-08-12 15:10:56,33226,88e7ba2764
hm_random_keep0.5,test,D:\recsys-pipeline\data\processed\hm_random_keep0.5\test.csv,True,2026-08-12 15:10:59,68391,38907f045c
hm_random_keep0.5,metadata,D:\recsys-pipeline\data\processed\hm_random_keep0.5\metadata.json,True,2026-08-12 15:11:02,19619,
hm_random_keep0.7,train,D:\recsys-pipeline\data\processed\hm_random_keep0.7\train.csv,True,2026-08-12 15:10:10,352785,1485840aeb
hm_random_keep0.7,valid,D:\recsys-pipeline\data\processed\hm_random_keep0.7\valid.csv,True,2026-08-12 15:10:11,44803,19824a2412
hm_random_keep0.7,test,D:\recsys-pipeline\data\processed\hm_random_keep0.7\test.csv,True,2026-08-12 15:10:13,68391,38907f045c
hm_random_keep0.7,metadata,D:\recsys-pipeline\data\processed\hm_random_keep0.7\metadata.json,True,2026-08-12 15:10:17,19619,
hm_random_keep0.9,train,D:\recsys-pipeline\data\processed\hm_random_keep0.9\train.csv,True,2026-08-12 15:09:21,455408,2b4d438806
hm_random_keep0.9,valid,D:\recsys-pipeline\data\processed\hm_random_keep0.9\valid.csv,True,2026-08-12 15:09:22,55777,58b25831dc
hm_random_keep0.9,test,D:\recsys-pipeline\data\processed\hm_random_keep0.9\test.csv,True,2026-08-12 15:09:24,68391,38907f045c
hm_random_keep0.9,metadata,D:\recsys-pipeline\data\processed\hm_random_keep0.9\metadata.json,True,2026-08-12 15:09:29,19619,
hm_tail_keep0.1,train,D:\recsys-pipeline\data\processed\hm_tail_keep0.1\train.csv,True,2026-08-12 15:12:51,45566,b2d00562c0
hm_tail_keep0.1,valid,D:\recsys-pipeline\data\processed\hm_tail_keep0.1\valid.csv,True,2026-08-12 15:12:52,11232,3ca02c285b
hm_tail_keep0.1,test,D:\recsys-pipeline\data\processed\hm_tail_keep0.1\test.csv,True,2026-08-12 15:12:54,68391,38907f045c
hm_tail_keep0.1,metadata,D:\recsys-pipeline\data\processed\hm_tail_keep0.1\metadata.json,True,2026-08-12 15:12:55,19619,
