dataset,folder,entity_type,entity_id,dense_count,base_pool_count,base_train_count,base_valid_count,test_count,variant_pool_count,variant_train_count,variant_valid_count,cold_in_base,became_cold_thinning,became_cold_valid,below_k_in_dense
amazon,amazon_random_keep0.9,item,B0BLRK4NH9,13,4,2,2,9,3,1,2,False,False,True,False
amazon,amazon_random_keep0.9,item,B0BWZS1LFD,13,6,1,5,7,6,1,5,True,False,True,False
amazon,amazon_random_keep0.9,item,B09ZQ43QNP,13,7,1,6,6,6,1,5,True,False,True,False
amazon,amazon_random_keep0.9,item,B0C5J2PQ3N,13,2,1,1,11,1,1,0,True,False,False,False
amazon,amazon_random_keep0.9,item,B0CC4GW8TV,14,1,1,0,13,1,1,0,True,False,False,False
amazon,amazon_random_keep0.9,item,B0C7LTZZNK,15,3,1,2,12,3,1,2,True,False,True,False
amazon,amazon_random_keep0.9,item,B0C46YTDQ2,16,2,1,1,14,2,1,1,True,False,True,False
amazon,amazon_random_keep0.9,item,B0C5GYR5MJ,16,4,1,3,12,3,1,2,True,False,True,False
amazon,amazon_random_keep0.9,item,B0C7J2XLYK,19,2,1,1,17,2,1,1,True,False,True,False
hm,hm_dedup_base_split,item,573085057,37,5,1,4,32,5,1,4,True,False,True,False
hm,hm_dedup_base_split,item,907149001,40,6,1,5,34,6,1,5,True,False,True,False
hm,hm_dedup_base_split,item,918890001,41,5,1,4,36,5,1,4,True,False,True,False
hm,hm_dedup_base_split,item,865929007,49,8,1,7,41,8,1,7,True,False,True,False
hm,hm_dedup_base_split,item,893432005,55,12,1,11,43,12,1,11,True,False,True,False
hm,hm_dedup_base_split,item,921906005,61,7,1,6,54,7,1,6,True,False,True,False
hm,hm_random_keep0.9,item,573085057,37,5,1,4,32,5,1,4,True,False,True,False
hm,hm_random_keep0.9,item,909721003,39,10,4,6,29,10,1,9,False,False,True,False
hm,hm_random_keep0.9,item,902528007,39,9,3,6,30,6,1,5,False,False,True,False
hm,hm_random_keep0.9,item,873279005,39,4,3,1,35,3,1,2,False,False,True,False
hm,hm_random_keep0.9,item,788575004,39,6,2,4,33,6,1,5,False,False,True,False
hm,hm_random_keep0.9,item,907149001,40,6,1,5,34,5,1,4,True,False,True,False
hm,hm_random_keep0.9,item,911981001,43,4,2,2,39,4,1,3,False,False,True,False
hm,hm_random_keep0.9,item,865929007,49,8,1,7,41,5,1,4,True,False,True,False
hm,hm_random_keep0.9,item,929165001,60,8,2,6,52,7,1,6,False,False,True,False
hm,hm_random_keep0.9,item,921906005,61,7,1,6,54,5,1,4,True,False,True,False
hm,hm_random_keep0.9,item,872537006,68,10,2,8,58,10,1,9,False,False,True,False
hm,hm_random_keep0.9,item,909059002,78,8,2,6,70,7,1,6,False,False,True,False
